feature,importance
motor_current_rolling_min_24h,0.0
motor_current_rolling_max_24h,0.0
tool_vibration_rolling_mean_6h,0.0
tool_vibration_rolling_std_6h,0.0
motor_current_rolling_mean_12h,0.0
motor_current_rolling_max_6h,0.0
hydraulic_pressure_rolling_std_6h,0.0
hydraulic_pressure_rolling_mean_6h,0.0
spindle_vibration_rolling_std_24h,0.0
spindle_vibration_rolling_mean_24h,0.0
spindle_vibration_rolling_max_12h,0.0
spindle_vibration_rolling_min_12h,0.0
spindle_vibration_rolling_std_12h,0.0
hydraulic_pressure_rolling_min_12h,0.0
spindle_vibration_rolling_max_24h,0.0
spindle_vibration_rolling_min_24h,0.0
spindle_vibration_rolling_min_6h,0.0
spindle_vibration_rolling_max_6h,0.0
spindle_vibration_rolling_mean_12h,0.0
spindle_temp_rolling_max_24h,0.0
acoustic_emission_rolling_mean_6h,0.0
tool_wear_rolling_max_24h,0.0
tool_wear_rolling_min_24h,0.0
tool_wear_rolling_mean_24h,0.0
tool_wear_rolling_min_12h,0.0
tool_wear_rolling_max_12h,0.0
tool_wear_rolling_max_6h,0.0
tool_wear_rolling_mean_12h,0.0
tool_vibration_rolling_min_24h,0.0
tool_vibration_rolling_max_24h,0.0
tool_wear_rolling_min_6h,0.0
tool_wear_rolling_mean_6h,0.0
tool_vibration_rolling_min_12h,0.0
tool_vibration_rolling_max_12h,0.0
tool_vibration_rolling_mean_24h,0.0
tool_vibration_rolling_std_24h,0.0
spindle_vibration_lag_2h,0.0
spindle_vibration_lag_1h,0.0
spindle_temp_lag_6h,0.0
spindle_temp_lag_3h,0.0
spindle_temp_lag_2h,0.0
spindle_temp_lag_1h,0.0
acoustic_emission_rolling_max_24h,0.0
acoustic_emission_rolling_min_6h,0.0
acoustic_emission_rolling_min_24h,0.0
acoustic_emission_rolling_max_6h,0.0
acoustic_emission_rolling_mean_12h,0.0
acoustic_emission_rolling_std_12h,0.0
acoustic_emission_rolling_min_12h,0.0
acoustic_emission_rolling_max_12h,0.0
acoustic_emission_rolling_mean_24h,0.0
acoustic_emission_rolling_std_24h,0.0
tool_wear_lag_2h,0.0
tool_wear_lag_1h,0.0
tool_vibration_lag_6h,0.0
tool_vibration_lag_3h,0.0
tool_vibration_lag_2h,0.0
tool_vibration_lag_1h,0.0
motor_current_lag_3h,0.0
spindle_vibration_lag_6h,0.0
spindle_vibration_lag_3h,0.0
spindle_temp_ema_0.1,0.0
acoustic_emission_lag_3h,0.0
acoustic_emission_lag_6h,0.0
acoustic_emission_lag_2h,0.0
tool_wear_lag_3h,0.0
acoustic_emission_lag_1h,0.0
tool_wear_lag_6h,0.0
tool_vibration_ema_0.3,0.0
motor_current_ema_0.3,0.0
motor_current_ema_0.1,0.0
hydraulic_pressure_ema_0.3,0.0
hydraulic_pressure_ema_0.1,0.0
spindle_vibration_rate_of_change,0.0
spindle_temp_rate_of_change,0.0
acoustic_emission_ema_0.3,0.0
motor_current_rate_of_change,0.0
hydraulic_pressure_rate_of_change,0.0
tool_vibration_rate_of_change,0.0
acoustic_emission_rate_of_change,0.0
temp_vib_interaction,0.0
power_current_interaction,0.0
wear_force_interaction,0.0
vib_pressure_ratio,0.0
